,City,Date,Cloudiness,Country,Wind Speed,Humidity,Latitude,Longitude,Max Temp
0,Kandi,1616240464,91,BJ,3.94,25,11.1342,2.9386,96.24
1,Alghero,1616240466,40,IT,17.27,62,40.5589,8.3181,53.6
2,Mahébourg,1616240468,75,MU,12.66,83,-20.4081,57.7,82.4
3,Yangambi,1616240471,58,CD,2.33,38,0.8102,24.4336,95.79
4,Toropets,1616240472,86,RU,7.31,61,56.4978,31.6353,28.08
5,Yining,1616240474,100,CN,2.48,89,29.0361,114.5636,50.47
6,Emerald,1616240476,100,AU,6.91,74,-23.5333,148.1667,80.6
7,Plettenberg Bay,1616240478,37,ZA,12.3,71,-34.0527,23.3716,71.42
8,Chokurdakh,1616240481,100,RU,3.47,97,70.6333,147.9167,-10.39
9,Punta Arenas,1616240483,20,CL,19.57,70,-53.15,-70.9167,42.8
10,Albany,1616240485,0,US,4.54,45,42.6001,-73.9662,28.0
11,Namtsy,1616240487,20,RU,4.47,85,62.7161,129.6658,6.8
12,Bluff,1616240489,52,NZ,5.99,90,-46.6,168.3333,55.0
13,Rikitea,1616240492,82,PF,8.61,76,-23.1203,-134.9692,79.52
14,Mataura,1616240494,48,NZ,5.99,90,-46.1927,168.8643,55.0
15,Kloulklubed,1616240497,90,PW,5.75,100,7.0419,134.2556,77.0
16,Qaanaaq,1616240499,99,GL,3.69,96,77.484,-69.3632,-9.98
17,Wajima,1616240502,100,JP,9.84,88,37.4,136.9,50.58
18,Olinda,1616240505,40,BR,6.91,69,-8.0089,-34.8553,80.6
19,Tuatapere,1616240507,77,NZ,5.99,90,-46.1333,167.6833,55.0
20,Ushuaia,1616240491,90,AR,19.57,87,-54.8,-68.3,37.4
21,Nichinan,1616240511,75,JP,1.14,100,31.6,131.3667,62.6
22,Vila Velha,1616240514,20,BR,4.61,73,-20.3297,-40.2925,80.01
23,Loandjili,1616240516,40,CG,6.91,74,-4.7561,11.8578,84.2
24,São Filipe,1616240518,80,CV,7.92,66,14.8961,-24.4956,73.65
25,Smithers,1616240379,90,CA,19.57,59,54.7804,-127.1743,30.2
26,San Bernardo,1616240522,0,CL,1.12,87,-33.6,-70.7167,55.99
27,George Town,1616240301,20,MY,10.36,48,5.4112,100.3354,87.8
28,Ugoofaaru,1616240526,45,MV,9.51,70,5.6667,73.0,83.44
29,Payo,1616240528,100,ID,1.28,97,-3.7508,103.6372,75.24
30,Kapaa,1616240530,75,US,20.71,78,22.0752,-159.319,71.6
31,East London,1616240532,75,ZA,9.22,88,-33.0153,27.9116,71.6
32,Lagoa,1616240534,100,PT,16.87,82,39.05,-27.9833,58.33
33,Saskylakh,1616240535,98,RU,7.38,100,71.9167,114.0833,-29.22
34,Ponta Delgada,1616240537,20,PT,12.66,67,37.7333,-25.6667,60.8
35,Margate,1616240541,28,GB,5.01,61,51.3813,1.3862,46.99
36,Latung,1616240543,46,PH,5.59,78,5.5,120.8833,83.52
37,Tuktoyaktuk,1616240546,78,CA,8.99,99,69.4541,-133.0374,-15.95
38,Port Elizabeth,1616240548,90,ZA,6.91,94,-33.918,25.5701,68.0
39,Nanortalik,1616240550,100,GL,16.26,98,60.1432,-45.2371,34.9
